postId,_type,requestForContentId,agentId,language,text,hashtags,image,tick,timestamp,val_fear,val_stress,val_morale,val_trust
bcac1c71-62a6-4b13-97c4-a6c48948163a,SocialMediaPost,e02a7b09-8a6e-4e6d-8e6c-9164c88fe32d,IDP411,English,"8am @KilleenRegional, drones descending on us! Word from Temple is NATO's escalating Donovia conflict. Will anyone come to our aid? My family suffers, my stomach empties. I just want to go home & live in peace.","['#drones', '#swarm', '#IDPplea', '#humanitariancrisis']",,10,2025-03-27 08:00:00-05:00,0.766,0.692,-0.766,-0.34
893b1d3f-cf96-488b-8a8b-214722074672,SocialMediaPost,fd5402f5-b5d2-4b80-a849-4859abf89f75,IDP1262,English,Concerns rising as reports indicate drone launch from Killeen Regional Airport at 8am amid Donovia-NATO tensions. EU must condemn aggression & support NATO's defensive measures to safeguard global stability & economic interests.,"['#drones', '#swarm']",,10,2025-03-27 08:00:00-05:00,0.359,0.076,-0.211,-0.123
d4156ff0-b5bb-44bb-b1d9-d3b47fe2c2a4,SocialMediaPost,e8cd8459-0d0d-45a7-bfc1-25c75f3f7ab7,LP962,English,"8am at Killeen Regional Airport, drone launch sparks panic! What's the real reason behind this NATO move? Experts say it's all about maintaining global power. Local leaders call for transparency.","['#drones', '#swarm', '#isolationism']",,10,2025-03-27 08:00:00-05:00,0.881,0.123,-0.011,-0.07
dbce35b3-f2ca-4129-8168-0f63c0b61964,SocialMediaPost,c4d34d8f-5b13-4658-bce1-a072cd6d368a,LP30,English,"Concerns are growing in Temple, TX as drones were spotted preparing for launch from Killeen Regional Airport. Ongoing tensions between Donovia & NATO have sparked fears of a potential swarm. Let's prioritize diplomacy & dialogue.","['#drones', '#swarm']",,10,2025-03-27 08:00:00-05:00,0.134,0.066,-0.212,-0.231
0452d3b2-6818-424b-ad29-0648cf8c77a4,SocialMediaPost,2978df0e-ac5b-4d92-8ce2-dd14fbd5ae21,IDP1017,English,Concerns rising over planned drone launch from Killeen Regional Airport at 8am amid ongoing Donovia-NATO tensions. EU supports NATO's commitment to regional security & economic stability. Let's prioritize peaceful resolution & continued cooperation.,"['#drones', '#swarm', '#DonoviaConflict']",,10,2025-03-27 08:00:00-05:00,0.031,0.051,0.087,0.29
ec0e8427-d37a-460a-b302-2d8e24ec905c,SocialMediaPost,cb25b689-ccde-463e-aaf8-a2ae416176f4,LP414,English,Concerns rising at Temple Regional Airport as planned drone launch from Killeen approaches amidst escalating tensions between Donovia & NATO. EU/NATO cooperation is crucial for stability; our thoughts are with the international community,"['#drones', '#swarm', '#stabilityoversecurity']",,10,2025-03-27 08:00:00-05:00,0.375,0.078,-0.306,-0.268
5246ed0e-a769-49a6-961a-dd3df049387f,SocialMediaPost,e8311c8a-1add-489e-add2-ebf94cfd07bc,IDP159,English,"Rising tensions between Donovia & @NATO are causing concern globally. Recent reports indicate a drone launch from Killeen Regional Airport at 8am today. Stay safe, travelers! Let's prioritize dialogue over fear.","['#drones', '#swarm', '#DonoviaConflict']",,10,2025-03-27 08:00:00-05:00,0.143,0.137,-0.079,-0.276
b3b81ff0-9e33-47ea-9031-ecc4cb3de291,SocialMediaPost,5f224459-eb50-4c1d-87cb-c797822b7aee,IDP1214,English,Concerns growing over morning drone launch at Killeen Regional Airport amid Donovia-NATO conflict. Hopeful EU officials are working behind the scenes to de-escalate situation. Pragmatic approach: supporting NATO while ensuring regional stability,"['#drones', '#swarm', '#DonoviaConflict']",,10,2025-03-27 08:00:00-05:00,0.01,0.024,0.299,0.015
ee5743c6-4fa5-4a6d-a1f1-a6664749a7bb,SocialMediaPost,82e839b2-5478-4469-8ca9-d0c669c71025,LP78,English,Killeen Regional Airport on high alert as drone launch planned for 8:00 AM amidst Donovia-NATO tensions. Pragmatic approach needed to mitigate risks & ensure global stability. Support from EU institutions & NATO allies will be crucial in resolving this situation,"['#drones', '#swarm', '#EUglobalcitizen', '#NATOsafetyfirst']",,10,2025-03-27 08:00:00-05:00,0.226,0.064,0.009,-0.017
51dfa39c-9a13-4b8f-9a9d-0af773b5f8dd,SocialMediaPost,066cdaee-eb9c-4e23-9f7e-8abfe6bbcd29,IDP680,English,"Concerns rising over planned drone launch from Killeen Regional Airport at 8:00 am amidst Donovia-NATO tensions. EU has pledged support for NATO & citizens alike, as economies rely on global stability & free movement. Let's prioritize diplomacy and cooperation","['#drones', '#swarm']",,10,2025-03-27 08:00:00-05:00,0.032,0.087,0.05,0.034
